index,score,subsystem
1050,0.6980183655905216,guidance
1051,0.6984754579575293,guidance
1052,0.6984683858993218,guidance
1053,0.6989704561149047,guidance
1054,0.6998259596501909,guidance
1055,0.699948860006006,guidance
1056,0.6996629752505542,guidance
1057,0.700460197708807,guidance
1058,0.6991931974283048,guidance
1059,0.6995245073719013,guidance
1060,0.707489397871337,telemetry
1061,0.7072099878016929,telemetry
1062,0.7057308722344449,telemetry
1063,0.7058248173863885,telemetry
1064,0.7059314949472841,telemetry
1065,0.7005641669450334,telemetry
2052,0.7001298836991258,guidance
2053,0.7003217819300336,guidance
2054,0.7005480286544652,guidance
2055,0.7025039365924214,imu
2056,0.7023862208421365,guidance
2057,0.702312875097767,guidance
2058,0.7020403294007113,guidance
2059,0.7021193415526833,guidance
2060,0.7072310603647931,fms
2061,0.7061880512011167,fms
2062,0.706954043214241,fms
2063,0.706906827920123,fms
2064,0.7054155721556821,fms
2065,0.7023470701607768,actuator
3054,0.6999874684577666,fms
3055,0.7012938392803928,fms
3056,0.7016191274100478,fms
3057,0.7011475357341341,fms
3058,0.7009921844997122,fms
3059,0.700676061118062,fms
3060,0.7068869606321566,actuator
3061,0.7062648307872077,imu
3062,0.7057023253520333,actuator
3063,0.7057308235226986,actuator
3064,0.7047350332108194,imu
3065,0.7011240768847031,imu
4051,0.7003443450561249,guidance
4052,0.7013097170628939,guidance
4053,0.7011799605368203,imu
4054,0.7017116421018295,guidance
4055,0.7031725451092511,fms
4056,0.7041437201084608,fms
4057,0.7044025231211917,fms
4058,0.7037652740546281,fms
4059,0.7034450523018064,fms
4060,0.7061489305741441,fms
4061,0.7069383593647334,imu
4062,0.7062481944901476,actuator
4063,0.7062549301669109,imu
4064,0.7053179784863253,actuator
4065,0.7036142968361763,fms
4066,0.7022920020769263,fms
4067,0.7020443850586324,fms
4556,0.7088288706182626,imu
4567,0.7017260724783023,imu
4782,0.7030679318269014,imu
4783,0.7068665970643014,imu
4785,0.7089613592666917,imu
4788,0.707819631475434,imu
4792,0.7039654344975438,imu
5045,0.7016281675967609,imu
5050,0.7056866246660191,imu
5051,0.7050856216452243,imu
5055,0.7178495436201509,imu
5056,0.7051056385301879,imu
5060,0.7192919115924937,imu
5061,0.7076067552493288,fms
5062,0.7145598135144899,imu
5063,0.7048110896462105,fms
5064,0.7032475400130382,actuator
5065,0.7135212113982352,imu
5066,0.703342440061838,imu
5067,0.7023463909289395,fms
5068,0.7114987629196913,imu
5069,0.7053863990672137,imu
6060,0.7044529372229963,guidance
6061,0.7040987394878144,guidance
6062,0.7056932893675331,guidance
6063,0.7050167239174213,guidance
6064,0.7044502647420412,actuator
7050,0.7020483049728607,actuator
7052,0.7030014273799471,actuator
7053,0.7030063640302551,actuator
7054,0.7040246221635993,actuator
7055,0.706041504277472,actuator
7056,0.7066200589647582,actuator
7057,0.706587809759426,actuator
7058,0.7061789691243933,actuator
7059,0.7066814896004933,actuator
7060,0.7129480314629602,actuator
7061,0.7128250145887556,actuator
7062,0.7111527650602302,actuator
7063,0.7114811384562268,actuator
7064,0.7117254729821659,actuator
7065,0.7101821725926896,actuator
7066,0.7072220345696355,actuator
7067,0.7077017427459524,actuator
7068,0.706156423682421,actuator
7069,0.7059751114542181,actuator
8060,0.7053000914935937,guidance
8061,0.7045759601245071,guidance
8062,0.7040400650401228,actuator
8063,0.7040490340962593,actuator
8064,0.7030685614577077,guidance
9060,0.7050855343082247,telemetry
9061,0.705197295084145,telemetry
9062,0.703376146594281,actuator
9063,0.7024609370745429,actuator
9064,0.7021117704120712,actuator
10052,0.7049443764547183,fms
10053,0.7039607885011391,fms
10054,0.7049968727407195,fms
10065,0.7016067216460731,fms
11060,0.7034053370257259,fms
11061,0.7034884813601181,fms
11062,0.7039171336456239,fms
11063,0.7039115254641959,fms
11064,0.703506763248515,fms
11065,0.7019624495003149,fms
12053,0.7017102572738689,imu
12054,0.7015757038723656,imu
12055,0.7042408553552131,imu
12056,0.7042963628357429,imu
12057,0.7047622382702542,imu
12058,0.7047820982432478,imu
12059,0.7041995454279755,imu
12060,0.7109570389658987,imu
12061,0.7106228475713117,imu
12062,0.7106161252433131,imu
12063,0.7087505353379852,imu
12064,0.7080015895722733,imu
12065,0.7068907560174724,imu
12066,0.7068268097247201,imu
12067,0.7061560074715502,imu
12068,0.7046098211391256,imu
12069,0.7033217130000632,imu
13060,0.7038937586155748,telemetry
13061,0.703290693059615,telemetry
13062,0.7025785333646005,telemetry
13063,0.7022915049951839,telemetry
13064,0.7027605040977385,actuator
14060,0.703163974909201,actuator
14061,0.7030186617335312,actuator
14062,0.7019740053416597,fms
14063,0.7017202072461873,fms
15060,0.7044193608301874,actuator
15061,0.7037805971906821,actuator
15062,0.7030895922182783,actuator
15063,0.7035440530293531,actuator
15064,0.7029875561964318,actuator
16060,0.7038806638368262,telemetry
16061,0.7045584601305083,telemetry
16062,0.7042852690621318,telemetry
16063,0.7035649657912724,telemetry
16064,0.7020935072054197,telemetry
16065,0.7016323319254892,fms
17056,0.700789804314556,imu
17060,0.7071733525372426,fms
17061,0.7071664716784632,fms
17062,0.7058951094171714,actuator
17063,0.7056619469187856,actuator
17064,0.7042151775010346,actuator
17065,0.702022253234221,actuator
